Blightreaper Thallid
Grafted Butcher
Burglar Rat
Nezumi Informant
Tangled Colony
Nectar Faerie
Frogtosser Banneret
Aetherblade Agent
Crypt Sliver
Dregscape Sliver
Frenzy Sliver
Leeching Sliver
Clot Sliver
Homicide Investigator
Shadow-Rite Priest
Skullcap Snail
Scourge of the Skyclaves
Skeletal Changeling
A-Nezumi Prowler
A-Dokuchi Silencer
Blood-chin Rager
Mindblade Render
Malakir Blood-Priest
Acquisitions Expert
Piper of the Swarm
Dauthi Voidwalker
Nether Traitor
Dauthi Slayer
Nezumi Shortfang
Swarm of Rats
Asylum Visitor
Blood Artist
Oona's Prowler
Stromkirk Condemned
Cabal Initiate
A-Orchish Bowmasters
A-Skemfar Avenger
